win_prob_min,min_ev,min_odds,max_odds,tune_n_main,tune_main_hits,tune_main_roi,tune_final,valid_n_main,valid_main_hits,valid_main_roi,valid_final
0.12,1.0,10.0,20.0,25,1,-0.576,815600.0,15,0,-1.0,887000.0
0.1,1.0,10.0,20.0,25,1,-0.576,815600.0,15,0,-1.0,887000.0
0.12,1.1,10.0,20.0,25,1,-0.576,815600.0,15,0,-1.0,887000.0
0.12,1.3,10.0,20.0,25,1,-0.576,815600.0,14,0,-1.0,888000.0
0.1,1.1,10.0,20.0,25,1,-0.576,815600.0,15,0,-1.0,887000.0
0.12,1.75,5.0,15.0,36,3,-0.4027777777777778,815500.0,16,1,-0.55,893200.0
0.1,1.75,3.0,15.0,36,3,-0.4027777777777778,815500.0,16,1,-0.55,893200.0
0.1,1.75,5.0,15.0,36,3,-0.4027777777777778,815500.0,16,1,-0.55,893200.0
0.12,1.75,3.0,15.0,36,3,-0.4027777777777778,815500.0,16,1,-0.55,893200.0
0.12,1.3,3.0,15.0,65,8,-0.2246153846153846,815400.0,31,2,-0.6258064516129033,882600.0
0.1,1.3,3.0,15.0,65,8,-0.2246153846153846,815400.0,31,2,-0.6258064516129033,882600.0
0.15,1.2,7.0,30.0,32,2,-0.459375,815300.0,18,1,-0.6,891200.0
0.15,1.1,7.0,30.0,32,2,-0.459375,815300.0,18,1,-0.6,891200.0
0.15,1.0,7.0,30.0,32,2,-0.459375,815300.0,18,1,-0.6,891200.0
0.1,1.75,7.0,15.0,24,1,-0.6166666666666667,815200.0,14,1,-0.4857142857142857,895200.0
0.12,2.0,7.0,20.0,24,1,-0.6166666666666667,815200.0,15,1,-0.52,894200.0
0.12,1.75,7.0,15.0,24,1,-0.6166666666666667,815200.0,14,1,-0.4857142857142857,895200.0
0.15,2.0,3.0,30.0,30,2,-0.49333333333333335,815200.0,16,1,-0.55,893200.0
0.15,1.4,7.0,15.0,24,1,-0.6166666666666667,815200.0,12,1,-0.4,897200.0
0.15,1.5,7.0,15.0,24,1,-0.6166666666666667,815200.0,12,1,-0.4,897200.0
0.1,2.0,7.0,20.0,24,1,-0.6166666666666667,815200.0,15,1,-0.52,894200.0
0.15,2.0,5.0,30.0,30,2,-0.49333333333333335,815200.0,16,1,-0.55,893200.0
0.15,1.75,10.0,20.0,15,0,-1.0,815000.0,9,0,-1.0,893000.0
0.15,1.3,10.0,20.0,15,0,-1.0,815000.0,9,0,-1.0,893000.0
0.15,1.4,10.0,20.0,15,0,-1.0,815000.0,9,0,-1.0,893000.0
0.15,2.0,10.0,20.0,15,0,-1.0,815000.0,9,0,-1.0,893000.0
0.15,1.2,10.0,20.0,15,0,-1.0,815000.0,9,0,-1.0,893000.0
0.15,1.5,10.0,20.0,15,0,-1.0,815000.0,9,0,-1.0,893000.0
0.15,1.1,10.0,20.0,15,0,-1.0,815000.0,9,0,-1.0,893000.0
0.15,1.0,10.0,20.0,15,0,-1.0,815000.0,9,0,-1.0,893000.0
0.1,1.1,7.0,20.0,43,3,-0.3511627906976744,814900.0,23,1,-0.6869565217391305,886200.0
0.12,1.1,7.0,20.0,43,3,-0.3511627906976744,814900.0,23,1,-0.6869565217391305,886200.0
0.15,1.3,3.0,15.0,55,7,-0.27636363636363637,814800.0,28,2,-0.5857142857142857,885600.0
0.1,1.3,7.0,15.0,35,2,-0.4342857142857143,814800.0,15,1,-0.52,894200.0
0.12,1.3,7.0,15.0,35,2,-0.4342857142857143,814800.0,15,1,-0.52,894200.0
0.15,1.75,3.0,20.0,37,3,-0.4189189189189189,814500.0,17,1,-0.5764705882352941,892200.0
0.15,1.75,5.0,20.0,37,3,-0.4189189189189189,814500.0,17,1,-0.5764705882352941,892200.0
0.15,1.1,7.0,50.0,33,2,-0.47575757575757577,814300.0,20,1,-0.64,889200.0
0.15,1.0,7.0,50.0,33,2,-0.47575757575757577,814300.0,20,1,-0.64,889200.0
0.15,1.2,7.0,50.0,33,2,-0.47575757575757577,814300.0,20,1,-0.64,889200.0
0.15,1.75,7.0,20.0,25,1,-0.632,814200.0,15,1,-0.52,894200.0
0.15,2.0,7.0,30.0,25,1,-0.632,814200.0,15,1,-0.52,894200.0
0.15,2.0,5.0,50.0,31,2,-0.5096774193548387,814200.0,18,1,-0.6,891200.0
0.15,2.0,3.0,50.0,31,2,-0.5096774193548387,814200.0,18,1,-0.6,891200.0
0.15,1.3,7.0,15.0,25,1,-0.632,814200.0,12,1,-0.4,897200.0
0.15,1.5,5.0,15.0,43,4,-0.3674418604651163,814200.0,16,1,-0.55,893200.0
0.12,1.0,7.0,30.0,52,4,-0.3173076923076923,813500.0,30,1,-0.76,879200.0
0.1,1.0,7.0,30.0,52,4,-0.3173076923076923,813500.0,30,1,-0.76,879200.0
0.15,1.2,5.0,20.0,52,5,-0.3211538461538462,813300.0,26,1,-0.7230769230769231,883200.0
0.15,2.0,7.0,50.0,26,1,-0.6461538461538462,813200.0,17,1,-0.5764705882352941,892200.0
0.12,1.5,10.0,15.0,17,0,-1.0,813000.0,8,0,-1.0,894000.0
